age,diameter,prob,calc,,
65,3,1.29E-02,0.012923798,,
65,3.1,1.05E-02,0.010529056,,
65,3.2,9.20E-03,0.009201536,,
65,3.3,0.008915208,0.008915208,,
65,3.4,0.008199388,0.008199388,,
65,3.5,0.007522613,0.007522613,,
65,3.6,0.006806794,0.006806794,,
65,3.7,0.006286198,0.006286198,,
65,3.8,0.005661482,0.005661482,,
65,3.9,0.004971693,0.004971693,,
65,4,0.004958678,0.004958678,,
65,4.1,0.004060649,0.004060649,,
65,4.2,0.0033188,0.0033188,,
65,4.3,0.003501009,0.003501009,,
65,4.4,0.002642025,0.002642025,,
65,4.5,0.001223401,0.001223401,,
65,4.6,0.001444654,0.001444654,,
65,4.7,0.001548773,0.001548773,,
65,4.8,0.001418624,0.001418624,,
65,4.9,0.001691937,0.001691937,,
65,5,0.001496714,0.001496714,,
65,5.1,0.001548773,0.001548773,,
65,5.2,0.001197371,0.001197371,,
65,5.3,0.001119282,0.001119282,,
65,5.4,0.000650745,0.000650745,,
66,3,1.29E-02,0.012923798,,
66,3.1,1.05E-02,0.010529056,,
66,3.2,9.20E-03,0.009201536,,
66,3.3,0.008915208,0.008915208,,
66,3.4,0.008199388,0.008199388,,
66,3.5,0.007522613,0.007522613,,
66,3.6,0.006806794,0.006806794,,
66,3.7,0.006286198,0.006286198,,
66,3.8,0.005661482,0.005661482,,
66,3.9,0.004971693,0.004971693,,
66,4,0.004958678,0.004958678,,
66,4.1,0.004060649,0.004060649,,
66,4.2,0.0033188,0.0033188,,
66,4.3,0.003501009,0.003501009,,
66,4.4,0.002642025,0.002642025,,
66,4.5,0.001223401,0.001223401,,
66,4.6,0.001444654,0.001444654,,
66,4.7,0.001548773,0.001548773,,
66,4.8,0.001418624,0.001418624,,
66,4.9,0.001691937,0.001691937,,
66,5,0.001496714,0.001496714,,
66,5.1,0.001548773,0.001548773,,
66,5.2,0.001197371,0.001197371,,
66,5.3,0.001119282,#VALUE!,,
66,5.4,0.000650745,0.000650745,,
67,3,1.29E-02,0.012923798,,
67,3.1,1.05E-02,0.010529056,,
67,3.2,9.20E-03,0.009201536,,
67,3.3,0.008915208,0.008915208,,
67,3.4,0.008199388,0.008199388,,
67,3.5,0.007522613,0.007522613,,
67,3.6,0.006806794,0.006806794,,
67,3.7,0.006286198,0.006286198,,
67,3.8,0.005661482,0.005661482,,
67,3.9,0.004971693,0.004971693,,
67,4,0.004958678,0.004958678,,
67,4.1,0.004060649,0.004060649,,
67,4.2,0.0033188,0.0033188,,
67,4.3,0.003501009,0.003501009,,
67,4.4,0.002642025,0.002642025,,
67,4.5,0.001223401,0.001223401,,
67,4.6,0.001444654,0.001444654,,
67,4.7,0.001548773,0.001548773,,
67,4.8,0.001418624,0.001418624,,
67,4.9,0.001691937,0.001691937,,
67,5,0.001496714,0.001496714,,
67,5.1,0.001548773,0.001548773,,
67,5.2,0.001197371,0.001197371,,
67,5.3,0.001119282,0.001119282,,
67,5.4,0.000650745,0.000650745,,
68,3,1.29E-02,0.012923798,,
68,3.1,1.05E-02,0.010529056,,
68,3.2,9.20E-03,0.009201536,,
68,3.3,0.008915208,0.008915208,,
68,3.4,0.008199388,0.008199388,,
68,3.5,0.007522613,0.007522613,,
68,3.6,0.006806794,0.006806794,,
68,3.7,0.006286198,0.006286198,,
68,3.8,0.005661482,0.005661482,,
68,3.9,0.004971693,0.004971693,,
68,4,0.004958678,0.004958678,,
68,4.1,0.004060649,0.004060649,,
68,4.2,0.0033188,0.0033188,,
68,4.3,0.003501009,0.003501009,,
68,4.4,0.002642025,0.002642025,,
68,4.5,0.001223401,0.001223401,,
68,4.6,0.001444654,0.001444654,,
68,4.7,0.001548773,0.001548773,,
68,4.8,0.001418624,0.001418624,,
68,4.9,0.001691937,0.001691937,,
68,5,0.001496714,0.001496714,,
68,5.1,0.001548773,0.001548773,,
68,5.2,0.001197371,0.001197371,,
68,5.3,0.001119282,0.001119282,,
68,5.4,0.000650745,0.000650745,,
69,3,1.29E-02,0.012923798,,
69,3.1,1.05E-02,0.010529056,,
69,3.2,9.20E-03,0.009201536,,
69,3.3,0.008915208,0.008915208,,
69,3.4,0.008199388,0.008199388,,
69,3.5,0.007522613,0.007522613,,
69,3.6,0.006806794,0.006806794,,
69,3.7,0.006286198,0.006286198,,
